date,type,count,mean,std,min,25%,50%,75%,max
2009-09-15,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-09-17,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-09-19,access point,1.0,2.0,,2.0,2.0,2.0,2.0,2.0
2009-09-22,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-09-23,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-09-25,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2009-09-26,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2009-09-29,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-09-30,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-05,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-08,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-10-18,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-20,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-21,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-22,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2009-10-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-25,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-10-26,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-27,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-10-28,access point,2.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0
2009-11-01,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2009-11-04,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-11-04,keyboard,6.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-11-05,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-11-07,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-11-09,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-11-10,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-11-12,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-11-16,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-11-25,access point,1.0,3.0,,3.0,3.0,3.0,3.0,3.0
2009-12-02,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2009-12-08,access point,2.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0
2009-12-16,access point,1.0,4.0,,4.0,4.0,4.0,4.0,4.0
2009-12-19,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2009-12-24,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2009-12-28,access point,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
2009-12-31,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
2010-01-09,access point,3.0,3.0,2.0,1.0,2.0,3.0,4.0,5.0
2010-01-15,access point,1.0,5.0,,5.0,5.0,5.0,5.0,5.0
2010-01-16,access point,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
2010-01-19,access point,2.0,3.5,2.1213203435596424,2.0,2.75,3.5,4.25,5.0
2010-01-24,access point,2.0,4.5,0.7071067811865476,4.0,4.25,4.5,4.75,5.0
